,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBSG dataÿ       Release               February 2015,6760 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Project Attributes,Project Attributes,Project Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Other Size,Other Size,Other Size
10036,B,,1999,Electronics & Computers,Engineering;Research & Development;Software Development;Client/Server architecture for Language Services;,Business Application,Management Information System;Linguistic Software;,New Development,PC,,,COSMIC,183,M1,,,,568,460,,3.1,2.5,,65.4,,2.8,0.30,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSMIC-FFP,COSMIC-FFP;,,Pentium II based processors;PowerPC(G3);,,"Windows NT, W2K;MacOS9;",,,Oracle;,,,,"Language given as: English, French for WinNT, & French for MacOS9;",,,,,,,,,,,,,,,,,,,Staff hours (recorded),4,,,,,Less than 5% of recorded effort,,,,,,183,,,68,71,12,32,"1,250",,
10039,B,C,1998,Communication,Telecommunication;,Business Application,Transaction/Production System;,Enhancement,,4GL,ADS/Online,IFPUG 4+,,M1,179,,271,327,271,,,1.5,,,,4.0,,Jun-1998,Specification;Build;Test;,,,,,,,271,,,,,,,,,,,,,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4,IFPUG 4;,,,ADS;,,,,,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,,,,,,36,15,4,30,7,92,0,0,,,,,,,
10047,B,A,2002,Wholesale & Retail,Ordering;,Business Application,Stock control & order processing;,Enhancement,MF,3GL,C,IFPUG 4+,730,M2,832,1.14,20975,20975,20975,28.7,28.7,25.2,,,,,,Oct-2002,,,,,,,,20975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,UNIX;,C;C++;COBOL;COBOL II;Java;HTML;PL/I;SQL;Calibrated;,UNIX;,,,Oracle;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10052,B,A,2002,Professional Services,Sales & Marketing;,Business Application,Trading;,Enhancement,,,ColdFusion,IFPUG 4+,179,M1,183,1.02,789,789,789,4.4,4.4,4.3,,,,,,Nov-2002,,,,,,,,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,ColdFusion;HTML;SQL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10054,C,B,1998,Manufacturing,Manufacturing;,Business Application,Management Information System;,Enhancement,MR,4GL,Oracle,IFPUG 4+,198,M1,198,,2753,2753,2560,13.9,13.9,12.9,,39.6,,5.0,0.00,,Planning;Specification;Build;Test;Implement;,320,480,,800,960,,0,,,,,Engineering;,,,,,,,No,,Stand alone,,,,,,,,Data Modelling;Regression Testing;Testing-Oriented Design;,,,,,,,,,,,,,,,,,,,not given,,,AViiON;,Oracle Forms;,DG/UX;,,Don't Know,Oracle;,,,,,,,,,,,,,Don't Know,No,,,,,,External for external business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10056,B,A,2002,Communication,Voice Provisioning;,,Voice Provisioning;,Enhancement,,3GL,C,IFPUG 4+,114,M1,135,1.18,7290,7290,7290,63.9,63.9,54.0,,,,,,Apr-2002,,,,,,,,7290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,C;C++;ASP;Java;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10059,B,,2006,Service Industry,Government;Community Services;,Business Application,Customer billing/relationship management;,New Development,,3GL,C#,COSMIC,568,M2,,,7936,7936,5873,14.0,14.0,10.3,,37.9,,15.0,1.0,01-Jun-2006,Design;Build;Test;,,,1087,3995,791,,0,,,,,,,,,,,,,,,,,,,,,Multifunctional Teams;,Data Modelling;Process Modelling;,,,,,,,Budget;Business Case;Feasibility Study;Project Schedule;Proposal/Tender;Quality Plan;Resource Plan;Risk Analysis;,System Concept Document;Requirements Specification;Functional Specification;Logical Data/ER Model;,,System Architecture Spec;Technical Specification;Detailed Design Documents;,,Source Code/Objects;Database Objects;Unit Test Plans/Designs;,,Test Plans/Designs;Test Scripts/Harnesses;Test Data;Incident/Defect Lists;,,Installation Procedures;Release Description/Notes;Incident/Defect Lists;End user Manual or Help;,,,COSMIC 2.2,COSMIC 2.2;,,,C#;.Net;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Recorded work on project tasks each day,1,,,,,,,,,,,,,,,,,,,,
10062,B,B,2007,Insurance,Insurance;,,,Enhancement,MF,3GL,PL/I,FiSMA,401,M2,,,4321,4321,4321,10.8,10.8,10.8,,,,15.2,0.17,30-Jun-2007,,,,,,,,4321,,,,,,,,,,,,,,Stand alone,,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,MAINFRAME;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,6 - 50,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10063,B,A,1999,Manufacturing,Manufacturing;,Business Application,Customer billing/relationship management;,New Development,Multi,4GL,Visual Basic,IFPUG 4+,849,M2,849,,2499,2499,1874,2.9,2.9,2.2,,160.2,,5.3,0.00,24-Mar-1999,Planning;Specification;Build;,,,,,,,1874,,,,,Don't Know;,,,,,,,No,,Multi-tier / Client server,Yes,,,,C/S;,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MR;,VB;,UNIX;Windows 98;,,,Oracle;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (derived),1,,,,100%,under 5%,,,,,,,,,,,,,,,
10065,B,B,2013,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,34,S,34,,3444,3444,3444,101.3,101.3,101.3,,2.8,0.0,12.0,,09-Jan-2013,Planning;Specification;Design;Build;Test;Implement;Proj Management;,56,27,618,1328,993,133,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,81-90,90,,,,,,,,,,,,,,,,,,
10066,B,,2006,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,PC,3GL,Visual Basic,COSMIC,108,M1,,,1402,1402,1276,13.0,13.0,11.8,,21.2,,5.1,,01-Feb-2006,,,0,0,1254,0,22,0,,,,,,,"CMMI Level-1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,COSMIC 3.0,COSMIC 3.0;,,,Visual Basic;,Windows;,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,108,0,0,,,,,,,
10067,B,,2003,Financial,"Financial, Property & Business Services;",,,Enhancement,,3GL,COBOL,LOC,,,,,60838,60838,60838,,,,,,,9.0,0.00,30-May-2003,Full Life Cycle;,,13873,6370,29656,,10206,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBOL / COBOL II / COBOL III 77%;EZTRIEVE / EZTRIEVE PLUS 10%;JCL 10%;Visual Basic 2%;Oracle (Store Procedures) 1%;,,,,,,,,,,,,,,,,,,Yes,,,,,65,,,,Staff hours (recorded),1,81-90,87,,,,,,,,,,,,,,,,"47,250",,
10069,B,B,2013,Communication,Telecommunications;,Business Application,Data Warehouse system;,Enhancement,,3GL,Shell,IFPUG 4+,949,M2,949,,366,366,366,0.4,0.4,0.4,,306.1,,3.1,,09-Sep-2013,,0,0,0,0,0,0,366,,,,,,,,,,,,,,,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,Shell script;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10074,B,A,1997,,,,,Enhancement,,,,IFPUG 4+,460,M2,460,1.00,2253,2253,1667,4.9,4.9,3.6,,115.0,23.0,4.0,0.00,Oct-1997,Planning;Build;Test;,427,,,882,358,,0,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,5-8,5,,,,,,,,,,,,,,,,,,
10075,A,B,1994,Financial,"Financial, Property & Business Services;",Business Application,Office Information System;,New Development,PC,4GL,SQL,IFPUG 4+,1502,L,1587,,6020,7490,7490,4.0,5.0,4.7,8.0,375.5,53.6,4.0,,Jun-1994,,,,,,,,6020,6,6,,12,Financial (excluding Banking);,,,,,,,No,,Stand alone,,,,,,,Joint Application Development (JAD);Multifunctional Teams;Rapid Application Development (RAD);Timeboxing;,Data Modelling;Prototyping;,Yes,,,,,Yes,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,Logically related tables counted as one;,IBM PC;,GUPTA SQL Windows;,DOS;,,,GUPTA SQLBASE;,,,,,,,,,,,,,No,Yes,Developed In-house;,1,1,,>5,In-house for internal business unit;,,,'Productive' time only (recorded),4,5-8,7,,,,774,260,340,128,0,1502,,,,,,,,,
10076,B,B,2003,Insurance,Insurance;,,,New Development,MF,3GL,PL/I,FiSMA,66,S,,,507,507,507,7.7,7.7,7.7,,,,17.0,,31-Oct-2003,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,Reviews;Test planning;Risk analysis;Functional sizing;Effort estimates;Risk analysis;Functional sizing;Effort estimates;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,2 - 5,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10080,B,A,2004,,,,,Enhancement,,4GL,PowerBuilder,IFPUG 4+,46,S,56,1.21,1009,1009,1009,21.9,21.9,18.0,,25.6,,1.8,0.00,,,,,,,,,1009,,,,,,,,,,,,,,Client server,Yes,,,,C/S;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,PowerBuilder;Shell;C;,,,,,,,,C/S;,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10085,A,B,2010,Electronics & Computers,Computers & Software;,,,Enhancement,MR,4GL,ABAP,IFPUG 4+,416,M2,424,1.01,9205,9205,9205,22.1,22.1,21.7,0.0,59.4,2.1,7.0,,25-Jan-2010,,327,362,1000,4700,2038,778,0,,,,0,,,,,,,,,,Client server,Yes,,,,,,Incremental;,,,,,,,,,,,,,,Unit Testing;,,Integration Testing;,,,,IFPUG 4.2,IFPUG 4.2;,,Unix Server;,ABAP;,z/OS;,,,Yes,,,,,,,,,,,,,,,,,,50,,,,,Staff hours (recorded),1,21-30,28,,,,,,,,,,,,,,,,,,
10090,B,C,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,,IFPUG 4+,,L,2533,,2525,2525,2525,,,1.0,,,,8.4,0.00,09-Jun-2004,,,,,,,,2525,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,Client/server;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10095,B,B,2002,Insurance,Insurance;,,,New Development,Multi,ApG,COOL:Gen,FiSMA,400,M2,,,150,150,150,0.4,0.4,0.4,,,,5.0,1.0,31-Dec-2002,Planning;Specification;Design;Build;Test;Implement;,,10,20,30,40,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Functional sizing;,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,COOL:Gen;,,,,,,,,,,,,,,,,,,Yes,,,,,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10096,B,B,2005,Insurance,Insurance;,,,Enhancement,Multi,4GL,,FiSMA,22,XS,,,134,134,134,6.1,6.1,6.1,,,,3.0,,20-May-2005,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10104,B,A,2004,,,,,Enhancement,,4GL,Oracle,IFPUG 4+,7,XXS,8,1.10,396,396,396,56.6,56.6,49.5,,3.7,,1.9,0.00,,,,,,,,,396,,,,,,,,,,,,,,Client server,Yes,,,,C/S;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,Oracle;,,,,,,,,C/S;,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10116,B,B,1999,,,Business Application,Management Information System;,Enhancement,MR,,,IFPUG 4+,779,M2,779,,,33387,25040,,42.9,32.1,,,,,,,Planning;Build;Test;Implement;,,,,,,,,,,,,,,,,,,,No,,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,,DEC VAX;,,MVS;,,Don't Know,Oracle;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),4,,,,,,,,,,,,,,,,,,,,
10132,B,B,2010,Manufacturing,Manufacturing;,Business Application,Cars selling;,Enhancement,MR,3GL,Java,IFPUG 4+,260,M1,260,,,3480,3202,,13.4,12.3,0.0,81.3,,3.2,,15-Sep-2010,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,Outbound Logistics;,,,,,,,No,,Client server,Yes,,,Client server;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,Java;JEE;,UNIX;,,,Oracle;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,Purchased;Good relationship;,,,Staff hours (recorded),3,,,,,,,,,,,,,,,,,,,,
10135,B,C,1998,Communication,Telecommunication;,Business Application,Transaction/Production System;,Enhancement,,4GL,Visual Basic,IFPUG 4+,,M1,204,,7781,9375,7781,,,38.1,,,,3.0,,Oct-1998,Specification;Build;Test;,,,,,,,7781,,,,,,,,,,,,,,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4,IFPUG 4;,,,Visual Basic;,,,,,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,,,,,,36,80,48,10,0,174,0,0,,,,,,,
10136,B,B,2004,,,Business Application,Financial application area;,New Development,Multi,4GL,,IFPUG 4+,83,S,83,,855,855,855,10.3,10.3,10.3,24.1,18.4,,4.5,,prior to Feb-2004,,,,,,,,855,,,,2,,,,,,,,,,Multi-tier / Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,Client/server;,4GL;,,,,Interactive;,,,,Average Complexity;,,,,,,,,,,Yes,Traditional;,,,,,,,,Staff hours (derived),1,,,,,,,,,,,,,,,,,,,,
